// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.GetEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadActual  12: 32768 op, 208300.00 ns, 6.3568 ns/op
OverheadActual  13: 32768 op, 199100.00 ns, 6.0760 ns/op
OverheadActual  14: 32768 op, 167400.00 ns, 5.1086 ns/op
OverheadActual  15: 32768 op, 159400.00 ns, 4.8645 ns/op
OverheadActual  16: 32768 op, 156900.00 ns, 4.7882 ns/op
OverheadActual  17: 32768 op, 158500.00 ns, 4.8370 ns/op
OverheadActual  18: 32768 op, 158600.00 ns, 4.8401 ns/op

WorkloadWarmup   1: 32768 op, 620692400.00 ns, 18.9420 us/op
WorkloadWarmup   2: 32768 op, 628956200.00 ns, 19.1942 us/op
WorkloadWarmup   3: 32768 op, 632596700.00 ns, 19.3053 us/op
WorkloadWarmup   4: 32768 op, 619566900.00 ns, 18.9077 us/op
WorkloadWarmup   5: 32768 op, 616416000.00 ns, 18.8115 us/op
WorkloadWarmup   6: 32768 op, 619890000.00 ns, 18.9175 us/op
WorkloadWarmup   7: 32768 op, 617061700.00 ns, 18.8312 us/op

WorkloadActual   1: 32768 op, 622997200.00 ns, 19.0124 us/op
WorkloadActual   2: 32768 op, 622943200.00 ns, 19.0107 us/op
WorkloadActual   3: 32768 op, 617799400.00 ns, 18.8537 us/op
WorkloadActual   4: 32768 op, 617209500.00 ns, 18.8357 us/op
WorkloadActual   5: 32768 op, 617423900.00 ns, 18.8423 us/op
WorkloadActual   6: 32768 op, 616541900.00 ns, 18.8154 us/op
WorkloadActual   7: 32768 op, 619271100.00 ns, 18.8987 us/op
WorkloadActual   8: 32768 op, 621408900.00 ns, 18.9639 us/op
WorkloadActual   9: 32768 op, 621903400.00 ns, 18.9790 us/op
WorkloadActual  10: 32768 op, 677652800.00 ns, 20.6803 us/op
WorkloadActual  11: 32768 op, 628025700.00 ns, 19.1658 us/op
WorkloadActual  12: 32768 op, 629448400.00 ns, 19.2092 us/op
WorkloadActual  13: 32768 op, 641600200.00 ns, 19.5801 us/op
WorkloadActual  14: 32768 op, 642760400.00 ns, 19.6155 us/op
WorkloadActual  15: 32768 op, 729608200.00 ns, 22.2659 us/op

